ле0000001252               307090203    2803070902032000020020,9202022  0
ле0000001252               231210202    2802312102025000030004,5602022  0
ле0000001252               231210102    2802312101028000030004,6902022  0
ле0000001252               298960101    2802989601012000020002,7802022  0
ле0000001252               206300401    2802063004012000020003,6002022  0
ле0000001252               281610203    2802816102033000020023,2202022  0
ле0000001252               308260105    2803082601053000010035,4002022  0
ле0000001252               003700101    2800037001012000010001,2502022  0
ле0000001252               248780116    2802487801167000030005,0402022  0
ле0000001252               248780216    2802487802164000020005,8402022  0
ле0000001252               262540102    2802625401020000010003,4102022  0
ле0000001252               095290201    2800952902012000050001,2802022  0
ле0000001252               185270101    2801852701019000050001,4202022  0
ле0000001252               249040101    2802490401019000010005,4502022  0
ле0000001252               033251602    2800332516020000050002,7502022  0
ле0000001252               175991114    2801759911146000040004,3102022  0
ле0000001252               284210203    2802842102038000010022,2302022  0
ле0000001252               293760203    2802937602030000020013,2802022  0
ле0000001252               328050202    2803280502022000040006,8302022  0
ле0000001252               238860202    2802388602023000010005,8102022  0
ле0000001252               225350104    2802253501048000040003,1502022  0
ле0000001252               260970302    2802609703027000020018,4002022  0
ле0000001252               223390105    2802233901059000050003,2702022  0
ле0000001252               077210401    2800772104016000030003,6002022  0
ле0000001252               298920103    2802989201038000020053,7102022  0
ле0000001252               276390203    2802763902038000020008,0302022  0
ле0000001252               109820101    2801098201014000040003,7902022  0
ле0000001252               239220101    2802392201014000060003,6502022  0
ле0000001252               186430301    2801864303010000060001,8002022  0
ле0000001252               201810301    2802018103012000020005,6802022  0
ле0000001252               238890401    2802388904011000020006,7702022  0
ле0000001252               246560102    2802465601024000020011,7202022  0
ле0000001252               270500101    2802705001010000040007,1202022  0
ле0000001252               311200303    2803112003031000010012,6902022  0
ле0000001252               199920101    2801999201014000040002,4302022  0
ле0000001252                            2809017403020000010040,6002022  0
ле0000001252               196180401    2801961804014000010009,4002022  0
ле0000001252               285690302    2802856903027000030048,9502022  0
ле0000001252               222140403    2802221404036000030005,0302022  0
ле0000001252               224850202    2802248502029000010014,3102022  0
ле0000001252               118690301    2801186903011000020001,7402022  0
ле0000001252               196960401    2801969604012000010005,0702022  0
ле0000001252               274630103    2802746301032000010028,3302022  0
ле0000001252               274630201    2802746302015000010028,0602022  0
ле0000001252               131300102    2801313001023000010009,1102022  0
ле000000125210.05230                    5200309856024000010002,7002022F 0
ле0000001252               160950301    2801609503019000010001,7002022  0
ле0000001252               298920204    2802989202042000010053,8102022  0
ле0000001252               233170101    2802331701018000010022,9602022  0
ле0000001252               225401801    2802254018019000020029,8502022  0
ле0000001252               109820302    2801098203025000020007,9302022  0
ле0000001252               125890201    2801258902010000030001,3502022  0
ле0000001252               225170704    2802251707046000010005,1002022  0
ле0000001252               197590203    2801975902034000020009,1902022  0
ле0000001252               132050401    2801320504012000010004,2002022  0
ле0000001252               049530201    2800495302010000030000,7302022  0
ле0000001252               250410202    2802504102024000010023,7402022  0
ле0000001252               311360202    2803113602028000020033,0102022  0
ле0000001252               186430101    2801864301016000020001,3102022  0
ле0000001252               296510102    2802965101024000010004,7402022  0
